Vessel Name,Flag State,Vessel Type,IRCS,IMO #,FFA ID,Length Overall,Gross Weight,VDS Reg No.,Valid From,Valid To
MONTELUCIA,SV,Single Purse Seiner,YSC2001,9232668,34771,91.90,3005.00,PSSV-2025-0395,2025-01-01,2025-12-31
MONTEROCIO,SV,Single Purse Seiner,YSC2002,8919453,32078,78.80,2118.00,PSSV-2025-0396,2025-01-01,2025-12-31
MV HARU,PA,Reefer Carrier,3EHZ8,9241932,35852,120.75,4521.00,RCPA-2025-0034,2025-01-01,2025-12-31
MYLO,PA,Reefer Carrier,HPFK,9278612,36619,120.75,4499.00,RCPA-2024-0685,2024-11-29,2025-11-28
MYOJIN MARU NO.1,JP,Long Liner,7JNG,9668415,37070,56.05,435.00,LLJP-2025-0659,2025-05-08,2025-12-31
NANKAI MARU NO.18,JP,Long Liner,,8345327,32904,16.85,19.94,LLJP-2025-0177,2025-01-01,2025-12-31
NANMADOL,FM,Single Purse Seiner,V6P90,8215493,35788,62.40,1569.00,PSFM-2025-0185,2025-01-01,2025-12-31
NAOERO STAR,NR,Single Purse Seiner,C2AA2,8813477,25023,78.33,1742.00,PSNR-2025-0224,2025-01-01,2025-12-31
NAOERO SUN,NR,Single Purse Seiner,C2AB2,8812203,25007,78.33,1742.00,PSNR-2025-0225,2025-01-01,2025-12-31
NAURU MANZAI 707,NR,Single Purse Seiner,C2DT2,1068669,37392,74.90,1845.00,PSNR-2025-0717,2025-08-21,2025-12-31
NEW CANOE,NR,Single Purse Seiner,C2BB2,9746281,36609,71.79,1350.00,PSNR-2025-0041,2025-01-01,2025-12-31
NEW FAIR DISCOVERY NO.707,TW,Single Purse Seiner,BL2099,9669079,36315,70.59,1280.00,PSTW-2025-0040,2025-01-01,2025-12-31
NEW HARMONY,PA,Bunker,HOOT,9208605,36615,113.98,5373.00,BKPA-2025-0702,2025-08-09,2026-08-08
NEW PROSPERITY,TW,Single Purse Seiner,BL2207,1130163,37385,75.95,1867.00,PSTW-2025-0710,2025-07-30,2025-12-31
NEW SPLENDOR,NR,Single Purse Seiner,C2BD2,9771951,36658,71.79,1350.00,PSNR-2025-0120,2025-01-01,2025-12-31
NEW TAKATSUKI,PA,Reefer Carrier,3EFN9,9015838,35468,120.70,4446.00,RCPA-2025-0295,2025-01-01,2025-12-31
NIUPELALIP NO. 8,PG,Single Purse Seiner,P2V5491,8520185,16469,56.15,1034.00,PSPG-2025-0479,2025-01-01,2025-12-31
NO.1 BARON,PA,Reefer Carrier,3FMM7,8911619,33024,120.70,4457.00,RCPA-2024-0696,2024-11-05,2025-11-04
NO.1 POHAH,PA,Reefer Carrier,3FSS6,8714944,34741,115.90,4261.00,RCPA-2024-0687,2024-12-07,2025-12-06
NO.2 JOCHOH,KR,Reefer Carrier,D7JO,9698343,36584,120.75,4546.00,RCKR-2024-0671,2024-11-12,2025-11-11
NOEL,KR,Bunker,D7AC,9414319,37141,128.87,8625.00,BKKR-2025-0641,2025-04-09,2026-04-08
OCEAN ACE,KR,Single Purse Seiner,DTBQ5,9386665,35454,79.90,1994.00,PSKR-2025-0146,2025-01-01,2025-12-31
OCEAN BOUNTIFUL NO.338,VU,Long Liner,YJXM2,8524545,36234,29.70,98.00,LLVU-2025-0347,2025-01-01,2025-12-31
OCEAN CHALLENGER,NR,Single Purse Seiner,C2BF2,9517264,35679,69.42,1517.00,PSNR-2025-0044,2025-01-01,2025-12-31
OCEAN CONQUEST,NR,Single Purse Seiner,C2BM2,9097343,35612,69.98,1416.00,PSNR-2025-0007,2025-01-01,2025-12-31
OCEAN CRYSTAL,PA,Bunker,HPUG,9116905,36743,180.00,29083.00,BKPA-2025-0667,2025-07-05,2026-07-04
OCEAN ENCOUNTER,NR,Single Purse Seiner,C2BN2,8996281,34939,69.42,1517.00,PSNR-2025-0008,2025-01-01,2025-12-31
OCEAN EXPEDITION,NR,Single Purse Seiner,C2BP2,9097367,35635,69.98,1416.00,PSNR-2025-0005,2025-01-01,2025-12-31
OCEAN GALAXY,NR,Single Purse Seiner,C2BQ2,8996310,35109,69.42,1517.00,PSNR-2025-0006,2025-01-01,2025-12-31
OCEAN MASTER,KR,Single Purse Seiner,6MOU,8812227,24968,78.33,1349.20,PSKR-2025-0147,2025-01-01,2025-12-31
OCEAN SPLENDID,PA,Bunker,3FAF7,9221683,36958,182.50,28539.00,BKPA-2024-0629,2024-08-31,2025-08-30
OCEAN WARRIOR,NR,Single Purse Seiner,C2BG2,9097317,35636,69.42,1517.00,PSNR-2025-0043,2025-01-01,2025-12-31
OCEANS GRACE NO.1,TW,Reefer Carrier,BI2338,8430500,34606,54.85,738.00,RCTW-2025-0622,2025-02-13,2026-02-12
OCEANUS,KR,Reefer Carrier,D7NG,9194919,36182,100.98,3747.00,RCKR-2025-0448,2025-01-01,2025-12-31
ORANGE STREAM,CW,Reefer Carrier,PJDC,9795983,36961,115.11,6088.00,RCCW-2024-0641,2024-09-06,2025-09-05
ORIENTAL MARINE,NR,Single Purse Seiner,C2AP2,9217357,34222,71.23,1099.00,PSNR-2025-0042,2025-01-01,2025-12-31
PACIFIC ENTERPRISE 7,FM,Single Purse Seiner,V6KPE7,66790,37333,74.90,1825.00,PSFM-2025-0663,2025-05-29,2025-12-31
PACIFIC JOURNEY,PA,Reefer Carrier,H3CN,9314612,36655,120.75,4522.00,RCPA-2024-0690,2024-12-06,2025-12-05
PACIFIC JOURNEY NO. 101,FM,Single Purse Seiner,V6KPJ101,9720550,36601,70.80,1408.00,PSFM-2025-0311,2025-01-01,2025-12-31
PACIFIC JOURNEY NO. 8,FM,Single Purse Seiner,V6KPJ8,9720562,36602,70.80,1408.00,PSFM-2025-0267,2025-01-01,2025-12-31
PACIFIC PRINCESS,US,Single Purse Seiner,WDQ2902,7806271,4408,258.50,2110.00,PSUS-2025-0668,2025-06-04,2025-12-31
PACIFIC PURSUIT NO. 107,FM,Single Purse Seiner,V6KPP107,9887073,36975,71.95,1512.00,PSFM-2025-0268,2025-01-01,2025-12-31
PACIFIC PURSUIT NO. 777,FM,Single Purse Seiner,V6KP777,9899595,37003,71.95,1512.00,PSFM-2025-0269,2025-01-01,2025-12-31
PANAMA TUNA,EC,Single Purse Seiner,HC4697,9175028,34379,115.58,4401.00,PSEC-2025-0344,2025-01-01,2025-12-31
PAPA RESTY,PH,Single Purse Seiner,4DFB-8,9729295,36538,71.79,1100.00,PSPH-2025-0176,2025-01-01,2025-12-31
PERSEVERANCE NO. 282,FM,Single Purse Seiner,V63KP282,9966283,37112,74.90,1825.00,PSFM-2025-0271,2025-01-01,2025-12-31
PERSEVERANCE NO. 768,FM,Single Purse Seiner,V63KP768,9966295,37116,74.90,1825.00,PSFM-2025-0270,2025-01-01,2025-12-31
PHAROSTAR,KR,Reefer Carrier,D7PK,9087910,35406,120.75,4490.00,RCKR-2025-0341,2025-01-01,2025-12-31
PING TAI RONG 19,CN,Long Liner,BZ2VT,9655054,36276,44.80,394.00,LLCN-2025-0605,2025-02-07,2025-12-31
PING TAI RONG 25,CN,Long Liner,BZ3VT,9655066,36277,44.80,394.00,LLCN-2025-0606,2025-02-07,2025-12-31
PING TAI RONG 29,CN,Long Liner,BZ4VT,9655078,36278,44.80,394.00,LLCN-2025-0607,2025-02-07,2025-12-31
PINGTAIRONG301,CN,Long Liner,BZW2P,8791502,35961,56.40,657.00,LLCN-2025-0637,2025-04-08,2025-12-31
PINGTAIRONG71,CN,Long Liner,BZ2VV,9689392,36416,49.00,473.00,LLCN-2025-0657,2025-04-29,2025-12-31
