Vessel Name,Flag State,Vessel Type,IRCS,IMO #,FFA ID,Length Overall,Gross Weight,VDS Reg No.,Valid From,Valid To
SHEN LIAN CHENG 782,CN,Long Liner,BZXV3,9821914,36770,30.42,149.00,LLCN-2025-0371,2025-01-01,2025-12-31
SHEN LIAN CHENG 783,CN,Long Liner,BZXE2,9864722,36839,30.46,159.00,LLCN-2025-0372,2025-01-01,2025-12-31
SHEN LIAN CHENG 784,CN,Long Liner,BZXE3,9873589,36860,30.46,159.00,LLCN-2025-0373,2025-01-01,2025-12-31
SHEN LIAN CHENG 785,CN,Long Liner,BZXE4,9873591,36863,30.46,159.00,LLCN-2025-0374,2025-01-01,2025-12-31
SHEN LIAN CHENG 786,CN,Long Liner,BZXE5,9873606,36861,30.46,159.00,LLCN-2025-0375,2025-01-01,2025-12-31
SHEN LIAN CHENG 787,CN,Long Liner,BZXC12,9896555,36928,30.46,157.00,LLCN-2025-0377,2025-01-01,2025-12-31
SHEN LIAN CHENG 788,CN,Long Liner,BZXC5,9896581,36929,30.46,157.00,LLCN-2025-0376,2025-01-01,2025-12-31
SHEN LIAN CHENG 791,CN,Long Liner,BZW9M,9829966,36776,21.08,107.00,LLCN-2025-0380,2025-01-01,2025-12-31
SHEN LIAN CHENG 792,CN,Long Liner,BZW1N,9829978,36777,21.08,107.00,LLCN-2025-0381,2025-01-01,2025-12-31
SHEN LIAN CHENG 793,CN,Long Liner,BZUO8,9857755,36820,21.08,107.00,LLCN-2025-0382,2025-01-01,2025-12-31
SHEN LIAN CHENG 796,CN,Long Liner,BZUX,9870903,36851,21.08,107.00,LLCN-2025-0383,2025-01-01,2025-12-31
SHEN LIAN CHENG 797,CN,Long Liner,BZUX2,9870915,36852,21.08,107.00,LLCN-2025-0384,2025-01-01,2025-12-31
SHEN LIAN CHENG 881,CN,Long Liner,BZXD92,8663133,36498,38.15,296.00,LLCN-2025-0519,2025-01-01,2025-12-31
SHEN LIAN CHENG 882,CN,Long Liner,BZXD93,8663145,36499,38.15,296.00,LLCN-2025-0249,2025-01-01,2025-12-31
SHEN LIAN CHENG 883,CN,Long Liner,BZXD94,8663157,36512,38.15,296.00,LLCN-2025-0520,2025-01-01,2025-12-31
SHEN LIAN CHENG 884,CN,Long Liner,BZXD95,9718313,36513,38.15,296.00,LLCN-2025-0250,2025-01-01,2025-12-31
SHEN LIAN CHENG 885,CN,Long Liner,BZXD96,9718325,36514,38.15,296.00,LLCN-2025-0248,2025-01-01,2025-12-31
SHENLIANCHENG603,CN,Long Liner,BZXC14,1076707,37240,26.00,150.00,LLCN-2025-0529,2025-01-03,2025-12-31
SHENLIANCHENG790,CN,Long Liner,BZXC23,9987940,37101,24.10,138.00,LLCN-2025-0378,2025-01-01,2025-12-31
SHILLA CHALLENGER,KR,Single Purse Seiner,6MET,8813489,26377,78.33,1349.20,PSKR-2025-0217,2025-01-01,2025-12-31
SHILLA EXPLORER,KR,Single Purse Seiner,6MPH,9699567,36608,79.90,2060.00,PSKR-2025-0218,2025-01-01,2025-12-31
SHILLA HARVESTER,KR,Single Purse Seiner,6KCA5,9634919,36264,79.90,1971.00,PSKR-2025-0219,2025-01-01,2025-12-31
SHILLA JUPITER,KR,Single Purse Seiner,DTBE8,9199220,34637,78.96,780.00,PSKR-2025-0220,2025-01-01,2025-12-31
SHILLA PIONEER,KR,Single Purse Seiner,6MSQ,9699579,36613,79.90,2060.00,PSKR-2025-0221,2025-01-01,2025-12-31
SHILLA SPRINTER,KR,Single Purse Seiner,6KCB4,9634945,36297,79.90,1971.00,PSKR-2025-0216,2025-01-01,2025-12-31
SHIN FUJI,PA,Reefer Carrier,HPEF,9140281,36207,99.50,3822.00,RCPA-2025-0442,2025-01-01,2025-12-31
SHIN HO CHUN NO. 101,PA,Reefer Carrier,3FRF9,9220653,35403,95.20,2495.00,RCPA-2025-0636,2025-05-04,2026-05-03
SHIN HO CHUN NO. 102,PA,Reefer Carrier,3FEQ5,9262182,35392,95.20,2900.00,RCPA-2025-0642,2025-04-21,2026-04-20
SHIN IZU,PA,Reefer Carrier,3EYX6,9186936,34118,95.92,2781.00,RCPA-2025-0443,2025-01-01,2025-12-31
SHOEI MARU NO.123,JP,Long Liner,7JOL,9671735,36787,57.10,439.00,LLJP-2025-0231,2025-01-01,2025-12-31
SHOEI MARU NO.7,JP,Long Liner,JQTN,9120023,36969,57.43,410.00,LLJP-2025-0256,2025-01-01,2025-12-31
SHOFUKU MARU NO.18,JP,Long Liner,7JQU,9709843,37239,57.36,439.00,LLJP-2025-0580,2025-01-27,2025-12-31
SHOFUKU MARU NO.8,JP,Long Liner,JCNJ,9254123,36944,56.17,409.00,LLJP-2025-0486,2025-01-01,2025-12-31
SHOKI MARU NO.31,JP,Long Liner,JP0N1290,9909637,36948,22.00,19.00,LLJP-2025-0156,2025-01-01,2025-12-31
SHOKI MARU NO.36,JP,Single Purse Seiner,JIKD,9066306,30775,63.51,1093.00,PSJP-2025-0154,2025-01-01,2025-12-31
SHOKI MARU NO.8,JP,Long Liner,,8345303,35655,20.00,19.00,LLJP-2025-0155,2025-01-01,2025-12-31
SHOUN MARU NO.1,JP,Long Liner,7KGL,9890771,36971,49.99,687.00,LLJP-2025-0213,2025-01-01,2025-12-31
SHOYU MARU NO.18,JP,Single Purse Seiner,7JTE,9746657,36644,79.61,1788.00,PSJP-2025-0073,2025-01-01,2025-12-31
SHUN FA 8,CN,Single Purse Seiner,BZU6K,9289221,35060,70.59,1280.00,PSCN-2025-0087,2025-01-01,2025-12-31
SIMBUN 88,NR,Single Purse Seiner,C2AT2,9745469,36617,70.59,1562.00,PSNR-2025-0124,2025-01-01,2025-12-31
SKIPJACK MANZAI 707,NR,Single Purse Seiner,C2DS2,1067744,37335,74.90,1845.00,PSNR-2025-0674,2025-06-27,2025-12-31
SLC 722,FM,Long Liner,V6P722,8744884,35639,26.00,129.00,LLFM-2025-0322,2025-01-01,2025-12-31
SLC 723,FM,Long Liner,V6P723,8744896,35640,26.00,129.00,LLFM-2025-0323,2025-01-01,2025-12-31
SOHOH,KR,Reefer Carrier,DSQS6,9209245,34265,120.75,4519.00,RCKR-2024-0670,2024-11-15,2025-11-14
SOKEHS,FM,Single Purse Seiner,V6PSKS,7827469,4333,69.45,1494.00,PSFM-2025-0186,2025-01-01,2025-12-31
SOLOMON AMBER,SB,Single Purse Seiner,H4HE,8748361,37367,49.95,891.00,PSSB-2025-0707,2025-07-29,2025-12-31
SOLOMON EMERALD,SB,Single Purse Seiner,H4NF,9212292,35620,46.00,718.90,PSSB-2025-0096,2025-01-01,2025-12-31
SOLOMON JADE,SB,Single Purse Seiner,H4AB,9211183,35918,46.00,718.90,PSSB-2025-0097,2025-01-01,2025-12-31
SOLOMON OPAL,SB,Single Purse Seiner,H4AL,9212319,35957,46.00,718.90,PSSB-2025-0098,2025-01-01,2025-12-31
SOLOMON PEARL,SB,Single Purse Seiner,H4NK,9211171,35611,46.00,718.90,PSSB-2025-0099,2025-01-01,2025-12-31
SOLOMON RUBY,SB,Single Purse Seiner,H4AM,9212307,35917,46.00,718.90,PSSB-2025-0095,2025-01-01,2025-12-31
SOPHIA MARTINA,PH,Single Purse Seiner,4DFC6,8748696,17889,64.70,995.00,PSPH-2025-0173,2025-01-01,2025-12-31
SOUTHERN SEAS NO. 301,SB,Single Purse Seiner,H4SR,9764415,36704,70.80,1408.00,PSSB-2025-0011,2025-01-01,2025-12-31
SOUTHERN SEAS NO. 302,SB,Single Purse Seiner,H4ST,9764427,36708,70.80,1408.00,PSSB-2025-0010,2025-01-01,2025-12-31
SOUTHERN SEAS NO. 303,SB,Single Purse Seiner,H4SU,9764439,36709,70.80,1408.00,PSSB-2025-0012,2025-01-01,2025-12-31
SUAH,PA,Reefer Carrier,HOZZ,9000376,36336,120.70,4444.00,RCPA-2024-0684,2024-11-28,2025-11-27
SUN FLOWER 7,KR,Reefer Carrier,DSPI5,8513871,34237,92.23,3244.00,RCKR-2025-0338,2025-01-01,2025-12-31
SUNFLOWER 8,PH,Single Purse Seiner,DUE 6209,8648028,22814,56.64,995.00,PSPH-2025-0537,2025-01-06,2025-12-31
SYOTA MARU,PA,Reefer Carrier,H9NZ,9087908,35372,120.75,4491.00,RCPA-2025-0534,2025-08-11,2026-08-10
TAI FU NO.3,PA,Reefer Carrier,H3AI,7927453,33069,99.60,3513.00,RCPA-2025-0140,2025-01-01,2025-12-31
TAI JI,PA,Reefer Carrier,3FYZ6,8804244,36387,124.70,4970.00,RCPA-2025-0463,2025-01-01,2025-12-31
TAI LONG 7,CN,Single Purse Seiner,BZYD7,9947938,37092,76.73,1850.00,PSCN-2025-0115,2025-01-01,2025-12-31
TAI LONG 9,CN,Single Purse Seiner,BZYD9,9947940,37093,76.73,1850.00,PSCN-2025-0116,2025-01-01,2025-12-31
TAIKEI MARU NO.1,JP,Single Purse Seiner,JRTG,9037953,28399,72.86,1440.00,PSJP-2025-0025,2025-01-01,2025-12-31
TAINA,TV,Single Purse Seiner,T2BX5,8102921,4705,76.06,1617.00,PSTV-2025-0226,2025-01-01,2025-12-31
TAIYO CHUUK,FM,Single Purse Seiner,V6PTC,9567465,35978,79.61,1788.00,PSFM-2025-0178,2025-01-01,2025-12-31
TAIYO MARU NO.2,JP,Single Purse Seiner,7KJA,9565364,36541,69.92,1359.00,PSJP-2025-0026,2025-01-01,2025-12-31
TAIYO POHNPEI,FM,Single Purse Seiner,V6PTP,8603755,35165,79.35,1788.00,PSFM-2025-0179,2025-01-01,2025-12-31
TAIYO WAAB,FM,Single Purse Seiner,V6PTW,9234173,34464,65.02,1096.00,PSFM-2025-0180,2025-01-01,2025-12-31
TATSU MARU NO.68,JP,Long Liner,JCGP,8944147,34239,57.24,660.00,LLJP-2025-0208,2025-01-01,2025-12-31
TEMANIM 01,KI,Long Liner,T3FV,9963176,37058,27.68,133.00,LLKI-2025-0234,2025-01-01,2025-12-31
TEMANIM 02,KI,Long Liner,T3FW,9963188,37059,27.68,133.00,LLKI-2025-0235,2025-01-01,2025-12-31
TEMANIM 03,KI,Long Liner,T3FX,9963190,37060,27.68,133.00,LLKI-2025-0236,2025-01-01,2025-12-31
TERAAKA,KR,Single Purse Seiner,6KAK,9743423,36711,79.60,1811.00,PSKR-2025-0192,2025-01-01,2025-12-31
TIARA 108,PA,Reefer Carrier,3FQH9,8420763,35836,109.00,4361.00,RCPA-2025-0182,2025-01-01,2025-12-31
TOBIAS MIGUEL,PH,Single Purse Seiner,4DFC-7,8748658,27714,69.26,1092.00,PSPH-2025-0165,2025-01-01,2025-12-31
TOKIWA MARU NO.18,JP,Single Purse Seiner,JJHJ,9031923,27433,63.24,1096.00,PSJP-2025-0074,2025-01-01,2025-12-31
TOKIWA MARU NO.28,JP,Single Purse Seiner,JKRN,9195028,34053,63.24,1095.00,PSJP-2025-0075,2025-01-01,2025-12-31
TOKIWA MARU NO.38,JP,Single Purse Seiner,7KFE,9874959,36918,79.61,1788.00,PSJP-2025-0076,2025-01-01,2025-12-31
TOMO MARU NO.33,JP,Long Liner,,1031800,37117,20.00,19.00,LLJP-2025-0161,2025-01-01,2025-12-31
TUNA MANZAI 707,NR,Single Purse Seiner,C2DU2,1068607,37391,74.90,1845.00,PSNR-2025-0716,2025-08-21,2025-12-31
TUNA PRINCESS,PA,Reefer Carrier,3E2595,9940708,37098,121.00,4902.00,RCPA-2025-0585,2025-01-29,2026-01-28
ULTRA ENERGY,PA,Bunker,3E2096,9184031,37079,107.90,5404.00,BKPA-2024-0688,2024-12-13,2025-12-12
UNAAK,MH,Single Purse Seiner,V7A2097,9784489,36854,75.34,1789.00,PSMH-2025-0104,2025-01-01,2025-12-31
VANDA 888,PH,Reefer Carrier,DYDH,7322471,30056,91.50,2219.00,RCPH-2025-0475,2025-01-15,2026-01-14
VEERA,PH,Single Purse Seiner,4DME-6,9009748,26880,56.37,673.00,PSPH-2025-0471,2025-01-01,2025-12-31
VIVA BEAR 707,PG,Single Purse Seiner,P2V5812,9400265,35521,75.97,1779.00,PSPG-2025-0103,2025-01-01,2025-12-31
VIVA EAGLE 707,PG,Single Purse Seiner,P2V5805,8974398,35025,79.89,2248.00,PSPG-2025-0100,2025-01-01,2025-12-31
VIVA FAFA NO.707,TW,Single Purse Seiner,BEBT,9035254,28589,78.25,1760.00,PSTW-2025-0131,2025-01-01,2025-12-31
VIVA GOGO 707,VU,Single Purse Seiner,YJRJ6,9220287,34312,79.89,2248.00,PSVU-2025-0015,2025-01-01,2025-12-31
VIVA LION 707,PG,Single Purse Seiner,P2V5806,9556674,35768,74.80,1691.00,PSPG-2025-0102,2025-01-01,2025-12-31
VIVA WANTWANT 707,PG,Single Purse Seiner,P2V5815,9294628,35066,79.89,2248.00,PSPG-2025-0101,2025-01-01,2025-12-31
VOLTA VICTORY,PA,Reefer Carrier,3FYS4,9140102,37005,91.48,2716.00,RCPA-2025-0671,2025-06-26,2026-06-25
WAKABA MARU NO.11,JP,Single Purse Seiner,7KKY,9951214,37054,79.61,1788.00,PSJP-2025-0036,2025-01-01,2025-12-31
WAKABA MARU NO.5,JP,Single Purse Seiner,JHRG,9281097,35072,64.07,1183.00,PSJP-2025-0037,2025-01-01,2025-12-31
WAKABA MARU NO.6,JP,Single Purse Seiner,JFRJ,9062635,30106,63.24,1096.00,PSJP-2025-0038,2025-01-01,2025-12-31
WAKABA MARU NO.7,JP,Single Purse Seiner,7JFV,9524865,35889,79.61,1788.00,PSJP-2025-0039,2025-01-01,2025-12-31
WEBO 307,PA,Reefer Carrier,3ETB8,9035072,36593,126.00,6082.00,RCPA-2025-0181,2025-01-01,2025-12-31
WESTERN PACIFIC,US,Single Purse Seiner,WDD-5296,7508893,4341,89.21,2024.00,PSUS-2025-0190,2025-01-01,2025-12-31
WIN BEST 707,VU,Single Purse Seiner,YJWG3,8996293,34957,70.59,1280.00,PSVU-2025-0009,2025-01-01,2025-12-31
WIN FAR NO.618,TW,Single Purse Seiner,BL2152,9922354,36976,74.95,1834.00,PSTW-2025-0685,2025-07-01,2025-12-31
WIN FAR NO.626,TW,Single Purse Seiner,BEAB,8747240,27359,65.70,1098.00,PSTW-2025-0686,2025-07-01,2025-12-31
WIN FAR NO.628,TW,Single Purse Seiner,BL2175,8597669,37090,74.95,1834.00,PSTW-2025-0687,2025-07-01,2025-12-31
WIN FAR NO.636,TW,Single Purse Seiner,BL2039,8747252,27888,65.80,1098.00,PSTW-2025-0688,2025-07-01,2025-12-31
WIN FOREVER NO.707,TW,Single Purse Seiner,BL2131,9870862,36841,74.80,1818.00,PSTW-2025-0016,2025-01-01,2025-12-31
WIN HARVEST 707,VU,Single Purse Seiner,YJWG4,9215000,34286,69.45,1217.00,PSVU-2025-0029,2025-01-01,2025-12-31
WIN HOPE 707,VU,Single Purse Seiner,YJWX7,9945368,37011,79.90,1968.00,PSVU-2025-0013,2025-01-01,2025-12-31
WIN POWER NO.707,TW,Single Purse Seiner,BL2160,1024118,37114,78.86,1983.00,PSTW-2025-0032,2025-01-01,2025-12-31
WIN RICH NO.707,TW,Single Purse Seiner,BL2132,9868637,36850,74.71,1668.00,PSTW-2025-0033,2025-01-01,2025-12-31
WIN THAISHUN NO.707,TW,Single Purse Seiner,BL2097,8749236,36071,71.79,1416.00,PSTW-2025-0030,2025-01-01,2025-12-31
WIN WIN 707,VU,Single Purse Seiner,YJTV8,9887449,36905,74.71,1688.00,PSVU-2025-0014,2025-01-01,2025-12-31
WOOJIN CHEMI,KR,Bunker,D7JN,9272814,37020,119.98,5347.00,BKKR-2024-0691,2024-12-17,2025-12-16
XIANG FA 8,CN,Single Purse Seiner,BZU7K,8996279,34815,70.59,1284.00,PSCN-2025-0088,2025-01-01,2025-12-31
XIN SHI JI 111,CN,Single Purse Seiner,BZV4N,9781645,36678,75.34,1813.00,PSCN-2025-0089,2025-01-01,2025-12-31
XIN SHI JI 112,CN,Single Purse Seiner,BZV5N,9774020,36651,75.34,1813.00,PSCN-2025-0090,2025-01-01,2025-12-31
XIN SHI JI 157,CN,Long Liner,BZ9VX,8672213,36527,49.80,496.00,LLCN-2025-0228,2025-01-01,2025-12-31
XIN SHI JI 158,CN,Long Liner,BZ1VY,8672225,36528,49.80,496.00,LLCN-2025-0227,2025-01-01,2025-12-31
XIN SHI JI 201,CN,Long Liner,BZ1VS,9663570,36299,40.13,396.00,LLCN-2025-0385,2025-01-01,2025-12-31
XIN SHI JI 202,CN,Long Liner,BZ2VS,9663582,36300,40.13,396.00,LLCN-2025-0386,2025-01-01,2025-12-31
XIN SHI JI 203,CN,Long Liner,BZ3VS,9663594,36301,44.48,396.00,LLCN-2025-0387,2025-01-01,2025-12-31
XIN SHI JI 205,CN,Long Liner,BZ4VS,9663609,36302,44.48,396.00,LLCN-2025-0388,2025-01-01,2025-12-31
XIN SHI JI 206,CN,Long Liner,BZ5VS,9663611,36303,44.48,396.00,LLCN-2025-0389,2025-01-01,2025-12-31
XIN SHI JI 207,CN,Long Liner,BZV7M,9775866,36733,44.90,461.00,LLCN-2025-0571,2025-01-21,2025-12-31
XIN SHI JI 208,CN,Long Liner,BZV8M,9775878,36734,44.90,461.00,LLCN-2025-0572,2025-01-21,2025-12-31
XIN SHI JI 209,CN,Long Liner,BZV9M,9775880,36735,44.90,461.00,LLCN-2025-0573,2025-01-21,2025-12-31
XIN SHI JI 210,CN,Long Liner,BZV1N,9775892,36736,44.90,461.00,LLCN-2025-0574,2025-01-21,2025-12-31
XIN SHI JI 215,CN,Long Liner,BZ2VY,9727481,36762,45.00,462.00,LLCN-2025-0501,2025-01-01,2025-12-31
XIN SHI JI 216,CN,Long Liner,BZ3VY,8672237,36728,41.00,462.00,LLCN-2025-0390,2025-01-01,2025-12-31
XIN SHI JI 36,CN,Long Liner,BZUU2,9971161,37056,50.54,556.00,LLCN-2025-0310,2025-01-01,2025-12-31
XIN SHI JI 37,CN,Long Liner,BZUY8,8653463,35828,56.50,497.00,LLCN-2025-0555,2025-01-13,2025-12-31
XIN SHI JI 62,CN,Long Liner,BZUD,9890018,36920,63.17,888.00,LLCN-2025-0352,2025-01-01,2025-12-31
XIN SHI JI 65,CN,Long Liner,BZUD3,9863778,36838,63.17,888.00,LLCN-2025-0353,2025-01-01,2025-12-31
XIN SHI JI 66,CN,Long Liner,BZUD4,9863780,36837,63.17,888.00,LLCN-2025-0354,2025-01-01,2025-12-31
XIN SHI JI 7,CN,Long Liner,BZUS5,8651233,35319,48.60,497.00,LLCN-2025-0194,2025-01-01,2025-12-31
XIN SHI JI 70,CN,Long Liner,BZVY9,8653475,35614,56.50,634.00,LLCN-2025-0355,2025-01-01,2025-12-31
XIN SHI JI 71,CN,Long Liner,BZVZ2,8653487,35646,56.50,634.00,LLCN-2025-0356,2025-01-01,2025-12-31
XIN SHI JI 73,CN,Long Liner,BZVZ4,8649462,35615,56.50,634.00,LLCN-2025-0357,2025-01-01,2025-12-31
XIN SHI JI 75,CN,Long Liner,BZVZ5,8649474,35616,56.50,634.00,LLCN-2025-0358,2025-01-01,2025-12-31
XIN SHI JI 77,CN,Long Liner,BZVZ7,8653516,35631,56.50,634.00,LLCN-2025-0359,2025-01-01,2025-12-31
XIN SHI JI 78,CN,Long Liner,BZVZ8,8653528,35617,56.50,634.00,LLCN-2025-0551,2025-01-10,2025-12-31
XIN SHI JI 79,CN,Long Liner,BZVZ9,8653530,35618,56.50,634.00,LLCN-2025-0360,2025-01-01,2025-12-31
XIN SHI JI 80,CN,Long Liner,BZVY3,8670033,36219,56.50,634.00,LLCN-2025-0361,2025-01-01,2025-12-31
XIN SHI JI 81,CN,Long Liner,BZVY4,8670045,36220,56.50,634.00,LLCN-2025-0556,2025-01-13,2025-12-31
XIN SHI JI 82,CN,Long Liner,BZVY5,8653542,35829,56.50,634.00,LLCN-2025-0557,2025-01-13,2025-12-31
XIN SHI JI 83,CN,Long Liner,BZVY6,8670057,36221,56.50,634.00,LLCN-2025-0558,2025-01-13,2025-12-31
XIN SHI JI 87,CN,Long Liner,BZUZ5,8651271,35299,48.60,497.00,LLCN-2025-0195,2025-01-01,2025-12-31
XIN SHI JI NO.17,CN,Long Liner,BZUT4,8651269,36114,56.40,497.00,LLCN-2025-0196,2025-01-01,2025-12-31
XIN SHI JI NO.67,CN,Long Liner,BZUZ4,8672524,37227,56.40,497.00,LLCN-2025-0366,2025-01-01,2025-12-31
XIN XIANG LI 56,CN,Reefer Carrier,BPPF3,1041166,,143.49,9337.00,RCCN-2025-0713,2025-08-12,2026-08-11
YAHATA MARU NO.5,JP,Long Liner,7JMJ,9658549,36867,57.10,439.00,LLJP-2025-0209,2025-01-01,2025-12-31
YAHATA MARU NO.68,JP,Long Liner,JQCA,9020754,34441,56.90,435.00,LLJP-2025-0233,2025-01-01,2025-12-31
YI FENG RUN 6,CN,Bunker,BPGQ5,9598543,,105.83,5098.00,BKCN-2025-0711,2025-07-30,2026-07-29
YI SIANG NO.1,TW,Long Liner,BG3975,8525795,36448,24.95,122.17,LLTW-2025-0312,2025-01-01,2025-12-31
YI SIANG NO.128,TW,Long Liner,BH3460,9783021,37142,38.00,278.00,LLTW-2025-0262,2025-01-01,2025-12-31
YI SIANG NO.168,TW,Long Liner,BG3862,1015002,37115,33.00,197.00,LLTW-2025-0263,2025-01-01,2025-12-31
YI SIANG NO.6,TW,Long Liner,BJ5031,8525812,35962,23.90,95.98,LLTW-2025-0264,2025-01-01,2025-12-31
YI SIANG NO.8,TW,Long Liner,BG4046,8525824,36401,25.45,112.65,LLTW-2025-0610,2025-02-13,2025-12-31
YOUTA MARU,PA,Reefer Carrier,HOA5303,9920423,37031,108.46,4992.00,RCPA-2024-0490,2024-09-16,2025-09-15
YU HSIANG NO.7,VU,Long Liner,YJWL5,9856347,36874,51.80,390.00,LLVU-2025-0661,2025-05-26,2025-12-31
YU HSIANG NO.8,VU,Long Liner,YJWL4,9856505,36873,51.80,390.00,LLVU-2025-0662,2025-05-29,2025-12-31
YUAN LONG,TW,Long Liner,BH3555,9990222,37094,41.38,393.00,LLCN-2025-0251,2025-01-01,2025-12-31
YUHO MARU NO.38,JP,Long Liner,NOT APPLICABLE,8345341,36825,21.00,19.00,LLJP-2025-0160,2025-01-01,2025-12-31
YUN RUN,KI,Reefer Carrier,T3FN2,9003756,34892,116.20,4287.00,RCKI-2025-0507,2025-01-16,2026-01-15
YUN RUN 1,NR,Reefer Carrier,C2CN2,8815023,33560,115.80,4189.00,RCNR-2025-0620,2025-03-06,2026-03-05
YUN RUN 3,NR,Reefer Carrier,C2CP2,9161613,36169,91.48,2713.00,RCNR-2025-0508,2025-01-09,2026-01-08
YUN RUN 7,PA,Reefer Carrier,3END6,9011038,36696,119.55,5617.00,RCPA-2025-0509,2025-02-28,2026-02-27
ZHONG SHUI 701,CN,Long Liner,BZZZ5,8628901,35732,36.60,191.00,LLCN-2025-0283,2025-01-01,2025-12-31
ZHONG SHUI 702,CN,Long Liner,BZZZ6,8628913,35733,32.70,193.00,LLCN-2025-0284,2025-01-01,2025-12-31
ZHONG SHUI 703,CN,Long Liner,BZZZ7,8628925,35742,36.60,191.00,LLCN-2025-0285,2025-01-01,2025-12-31
ZHONG SHUI 704,CN,Long Liner,BZZZ8,8628949,35743,36.60,193.00,LLCN-2025-0286,2025-01-01,2025-12-31
ZHONG SHUI 705,CN,Long Liner,BZZZ9,8628951,35744,32.70,191.00,LLCN-2025-0287,2025-01-01,2025-12-31
ZHONG SHUI 706,CN,Long Liner,BZZY3,8628963,35745,32.70,191.00,LLCN-2025-0288,2025-01-01,2025-12-31
ZHONG SHUI 707,CN,Long Liner,BZZR6,8628937,35929,37.60,199.00,LLCN-2025-0456,2025-01-01,2025-12-31
ZHONG SHUI 708,CN,Long Liner,BZZR7,8628975,35930,37.60,199.00,LLCN-2025-0289,2025-01-01,2025-12-31
ZHONG SHUI 709,CN,Long Liner,BZZR8,8628987,35934,37.60,199.00,LLCN-2025-0457,2025-01-01,2025-12-31
ZHONG SHUI 710,CN,Long Liner,BZZR9,8628999,35932,37.60,199.00,LLCN-2025-0282,2025-01-01,2025-12-31
ZHONG SHUI 711,CN,Long Liner,BZSI6,8653592,36255,35.50,255.00,LLCN-2025-0054,2025-01-01,2025-12-31
ZHONG SHUI 712,CN,Long Liner,BZSI7,8653607,36256,35.50,255.00,LLCN-2025-0055,2025-01-01,2025-12-31
ZHONG SHUI 717,CN,Long Liner,BZTK2,9686089,36390,36.52,270.00,LLCN-2025-0056,2025-01-01,2025-12-31
ZHONG SHUI 718,CN,Long Liner,BZYZ2,9865257,36843,34.63,215.00,LLCN-2025-0057,2025-01-01,2025-12-31
ZHONG SHUI 727,CN,Long Liner,BZTK3,9686091,36391,36.52,270.00,LLCN-2025-0058,2025-01-01,2025-12-31
ZHONG SHUI 728,CN,Long Liner,BZYZ3,9865269,36844,34.63,215.00,LLCN-2025-0059,2025-01-01,2025-12-31
ZHONG SHUI 737,CN,Long Liner,BZTK4,9686106,36392,36.52,270.00,LLCN-2025-0060,2025-01-01,2025-12-31
ZHONG SHUI 738,CN,Long Liner,BZYZ4,9865271,36845,34.63,215.00,LLCN-2025-0061,2025-01-01,2025-12-31
ZHONG SHUI 747,CN,Long Liner,BZTK5,9686118,36393,36.52,270.00,LLCN-2025-0062,2025-01-01,2025-12-31
ZHONG SHUI 748,CN,Long Liner,BZYZ5,9865283,36846,34.63,215.00,LLCN-2025-0490,2025-01-01,2025-12-31
ZHONG SHUI 757,CN,Long Liner,BZTK6,9686120,36394,36.52,270.00,LLCN-2025-0064,2025-01-01,2025-12-31
ZHONG SHUI 758,CN,Long Liner,BZYZ6,9865295,36847,34.63,215.00,LLCN-2025-0491,2025-01-01,2025-12-31
ZHONG SHUI 767,CN,Long Liner,BZTK7,9686132,36395,36.52,270.00,LLCN-2025-0066,2025-01-01,2025-12-31
ZHONG SHUI 777,CN,Long Liner,BZYQ2,9910026,36962,36.54,289.00,LLCN-2025-0067,2025-01-01,2025-12-31
ZHONG SHUI 787,CN,Long Liner,BZYQ3,9910038,36963,36.54,289.00,LLCN-2025-0069,2025-01-01,2025-12-31
ZHONG SHUI 797,CN,Long Liner,BZYQ4,9910040,36964,36.54,289.00,LLCN-2025-0072,2025-01-01,2025-12-31
ZHONG SHUI 805,CN,Long Liner,BZYJ2,8629008,36093,37.60,223.00,LLCN-2025-0053,2025-01-01,2025-12-31
ZHONG SHUI 806,CN,Long Liner,BZYJ3,8629010,36094,37.60,223.00,LLCN-2025-0071,2025-01-01,2025-12-31
ZHONG SHUI 807,CN,Long Liner,BZYJ4,8629022,36115,33.74,223.00,LLCN-2025-0070,2025-01-01,2025-12-31
ZHONG SHUI 808,CN,Long Liner,BZYJ5,8629034,36116,33.74,223.00,LLCN-2025-0068,2025-01-01,2025-12-31
ZHONG SHUI 809,CN,Long Liner,BZYJ6,8629046,36120,33.74,223.00,LLCN-2025-0065,2025-01-01,2025-12-31
ZHONG SHUI 810,CN,Long Liner,BZYJ7,8629058,36117,33.74,223.00,LLCN-2025-0121,2025-01-01,2025-12-31
ZHONG SHUI 811,CN,Long Liner,BZSI8,8653619,36257,35.50,255.00,LLCN-2025-0063,2025-01-01,2025-12-31
ZHONG SHUI 812,CN,Long Liner,BZSI9,8653621,36258,35.50,255.00,LLCN-2025-0052,2025-01-01,2025-12-31
ZHONG SHUI 917,CN,Long Liner,BZZA,1077438,37230,37.41,313.00,LLCN-2025-0492,2025-01-01,2025-12-31
ZHONG SHUI 927,CN,Long Liner,BZZA2,1077440,37231,37.41,313.00,LLCN-2025-0493,2025-01-01,2025-12-31
ZHONG SHUI 937,CN,Long Liner,BZZA3,1077452,37232,37.41,313.00,LLCN-2025-0494,2025-01-01,2025-12-31
